timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2018-07-11,75.79,80.98,75.31,78.18,192182.00671,1531353599999,14878690.4379341,32131,115009.98237,8908380.2790025,0
2018-07-12,78.18,78.25,74.0,76.79,181966.74235,1531439999999,13812292.3279434,26488,112818.15087,8570238.6127185,0
2018-07-13,76.82,78.6,74.96,76.53,167655.26932,1531526399999,12912109.6754353,25186,108688.4652,8376571.5139985,0
2018-07-14,76.52,77.5,75.37,76.18,142798.45441,1531612799999,10889163.0562266,20093,90253.48157,6884018.0929911,0
2018-07-15,76.19,79.5,75.1,78.54,149955.80081,1531699199999,11604880.68028,21757,94277.62174,7301880.5552964,0
2018-07-16,78.54,84.28,77.6,83.49,182917.22074,1531785599999,14849320.6163774,27446,113922.62535,9244745.3679825,0
2018-07-17,83.65,90.0,81.3,89.06,204689.47756,1531871999999,17424042.8957612,33429,120773.5344,10244514.0567659,0
2018-07-18,88.99,94.41,84.2,86.21,207474.92801,1531958399999,18644932.145683,39821,112774.73749,10138576.6813758,0
2018-07-19,86.26,89.0,84.8,86.0,154334.95177,1532044799999,13363247.479054,26115,91062.22812,7887372.8328764,0
2018-07-20,86.1,86.69,80.72,81.87,172067.63126,1532131199999,14427924.6324704,30362,96130.40943,8063214.9508,0
2018-07-21,81.84,84.93,79.5,83.44,134142.44869,1532217599999,11093940.8247099,24424,85572.80716,7079208.9917606,0
2018-07-22,83.42,84.2,81.78,82.21,137457.8165,1532303999999,11406970.0475816,23618,82666.14281,6860524.9981899,0
2018-07-23,82.2,85.96,81.1,81.38,143669.03549,1532390399999,12017252.0703626,26538,84540.7327,7070621.5873109,0
2018-07-24,81.43,89.79,80.79,89.12,207891.17573,1532476799999,17982460.0146273,40138,121219.28763,10474072.250282,0
2018-07-25,89.02,90.75,84.81,86.38,164176.79921,1532563199999,14305114.7484705,31838,96488.95547,8408131.8631849,0
2018-07-26,86.38,87.9,82.75,83.37,151787.8452,1532649599999,13102178.265579,26709,91175.22873,7873925.9627926,0
2018-07-27,83.51,85.12,81.37,84.39,158734.44422,1532735999999,13246486.8508777,27141,95818.60392,8001254.9178569,0
2018-07-28,84.39,84.7,82.26,84.07,124974.4699,1532822399999,10466944.3885658,20855,75870.2351,6356415.7117373,0
2018-07-29,84.1,85.38,83.22,83.85,119512.7544,1532908799999,10028538.8565991,20222,80221.34046,6731896.6970527,0
2018-07-30,83.89,84.62,79.76,82.18,146947.05011,1532995199999,12152782.1732837,24268,87704.1873,7259508.0703344,0
2018-07-31,82.16,82.63,76.02,78.69,157911.8041,1533081599999,12489474.2961049,28441,92523.27508,7332438.4188639,0
2018-08-01,78.91,79.06,75.78,77.53,139634.79769,1533167999999,10805717.3092267,24719,84742.1788,6561070.3020136,0
2018-08-02,77.62,78.46,75.33,76.11,134458.4997,1533254399999,10335329.4233413,21776,84430.8705,6491927.4420183,0
2018-08-03,76.16,77.84,74.66,77.7,141502.8987,1533340799999,10755649.4894646,23106,83426.02032,6338232.0380666,0
2018-08-04,77.63,78.15,72.1,73.13,148949.16457,1533427199999,11228478.3691647,28619,88724.48852,6705927.5997934,0
2018-08-05,73.06,74.73,72.23,74.61,133945.84351,1533513599999,9870760.383583,20065,80570.43849,5939921.3619165,0
2018-08-06,74.6,76.7,72.35,73.62,137607.07273,1533599999999,10218380.652637,22980,83246.36748,6184617.31019,0
2018-08-07,73.67,75.24,66.58,67.35,164019.46827,1533686399999,11907649.7705943,30383,100102.93498,7285340.8785077,0
2018-08-08,67.32,67.49,60.8,62.13,185720.38797,1533772799999,11974283.3683025,36626,104888.17557,6760757.721659,0
2018-08-09,62.13,64.94,60.0,62.89,179209.22762,1533859199999,11263053.9221285,31918,104264.28235,6555524.1417426,0
